Date,Mean,Min,Max,Meandiff,Mindiff,Maxdiff
2015-11-29,66.9225,66.78,67.17,-0.002020638849950851,0.009829124451837368,-0.007242092817026258
2015-12-06,66.928,65.8,67.89,8.218461653397569e-05,-0.014675052410901501,0.010719071013845394
2015-12-13,65.61999999999999,64.07,67.0,-0.019543389911546805,-0.026291793313069967,-0.01310944174399764
2015-12-20,65.71600000000001,64.27,67.53,0.0014629686071323533,0.0031215857655688684,0.007910447761193984
2015-12-27,66.13750000000002,65.54,66.73,0.006413963114005883,0.01976038587210227,-0.011846586702206396
2016-01-03,66.5175,66.03,67.07,0.005745605745605564,0.007476350320414937,0.005095159598381471
2016-01-10,61.870000000000005,58.92,63.73,-0.06986883151050471,-0.10767832803271238,-0.049798717757566724
2016-01-17,58.074,57.04,58.96,-0.06135445288508168,-0.031907671418873074,-0.07484701082692602
2016-01-24,56.17999999999999,55.25,57.01,-0.03261356200709453,-0.03138148667601681,-0.03307327001356852
2016-01-31,57.312,55.66,59.5,0.020149519401922555,0.007420814479637938,0.04367654797403975
2016-02-07,57.89000000000001,57.03,58.86,0.010085147962032526,0.024613726194753882,-0.010756302521008454
2016-02-14,55.763999999999996,53.07,57.49,-0.036724822940058965,-0.06943713834823784,-0.023275569147128694
2016-02-21,58.1875,57.81,58.77,0.04345993831145556,0.08931599773883558,0.022264741694207668
2016-02-28,57.076,56.12,58.57,-0.019102040816326493,-0.02923369659228514,-0.0034030968181045784
2016-03-06,59.053999999999995,56.3,60.05,0.03465554698997808,0.0032074126870991204,0.025268908997780448
2016-03-13,59.157999999999994,58.61,59.94,0.001761100010160277,0.041030195381882795,-0.0018318068276436117
2016-03-20,59.294000000000004,58.75,60.48,0.0022989282937220246,0.0023886708752771657,0.009009009009008917
2016-03-27,60.029999999999994,59.48,60.46,0.012412723041117069,0.012425531914893595,-0.0003306878306877925
2016-04-03,59.446000000000005,59.03,59.87,-0.009728469098783776,-0.0075655682582379535,-0.009758518028448626
2016-04-10,58.286,57.32,59.2,-0.01951350805773311,-0.028968321192613944,-0.01119091364623337
2016-04-17,60.746,58.2,62.59,0.04220567546237519,0.01535240753663647,0.05726351351351355
2016-04-24,63.48,62.27,64.24,0.04500707865538467,0.0699312714776632,0.026362038664323295
2016-05-01,63.688,63.2,64.11,0.003276622558286091,0.01493496065521116,-0.0020236612702365653
2016-05-08,62.152,61.24,63.79,-0.024117573169199824,-0.031012658227848156,-0.004991420995164586
2016-05-15,61.60600000000001,61.2,62.04,-0.008784914403398014,-0.0006531678641410466,-0.02743376704812661
2016-05-22,62.852,61.66,64.04,0.020225302730253247,0.007516339869281019,0.0322372662798196
2016-05-29,64.79599999999999,63.46,65.52,0.03092980334754647,0.029192345118391305,0.023110555902560836
2016-06-05,65.35249999999999,64.64,65.81,0.008588493116859164,0.018594390167034458,0.0044261294261296324
2016-06-12,64.83600000000001,63.84,65.28,-0.007903293676599699,-0.012376237623762387,-0.008053487311958651
2016-06-19,62.364,61.97,63.27,-0.03812696650009273,-0.029291979949874758,-0.030790441176470562
2016-06-26,62.336,59.6,64.05,-0.00044897697389512103,-0.038244311763756644,0.0123281175912755
2016-07-03,60.34599999999999,57.61,62.14,-0.03192376796714591,-0.03338926174496648,-0.029820452771272432
2016-07-10,60.537499999999994,59.55,61.83,0.0031733669174427437,0.033674709251865886,-0.004988735114258125
2016-07-17,63.386,62.27,64.18,0.047053479248399865,0.04567590260285481,0.03800743975416476
2016-07-24,63.896,63.69,64.04,0.00804594074401277,0.022803918419784797,-0.0021813649111872557
2016-07-31,64.08,63.87,64.33,0.002879679479153685,0.0028261893546868144,0.004528419737663825
2016-08-07,64.594,63.65,66.3,0.008021223470661587,-0.0034444966337873195,0.030623348360018676
2016-08-14,65.606,65.28,66.1,0.015667089822584135,0.025608798114689746,-0.003016591251885359
2016-08-21,65.826,65.71,65.95,0.0033533518275767893,0.006587009803921351,-0.0022692889561269913
2016-08-28,65.96199999999999,65.77,66.22,0.0020660529274145745,0.000913103028458373,0.00409401061410164
2016-09-04,67.33,66.95,67.5,0.020739213486552943,0.017941310627946017,0.01932950770160069
2016-09-11,67.125,66.65,67.44,-0.003044705183424923,-0.004480955937266606,-0.000888888888888939
2016-09-18,66.49,65.82,67.06,-0.00945996275605221,-0.012453113278319772,-0.005634638196915676
2016-09-25,66.826,66.19,67.39,0.005053391487441772,0.005621391674263121,0.00492096629883676
2016-10-02,66.218,65.65,66.71,-0.009098255170143177,-0.008158332074331365,-0.010090517880991356
2016-10-09,67.35600000000001,66.51,68.11,0.01718565948835682,0.013099771515613146,0.02098635886673672
2016-10-16,68.068,67.52,68.64,0.01057069897262286,0.0151856863629527,0.0077815298781382936
2016-10-23,67.994,67.17,68.49,-0.0010871481459716614,-0.0051836492890994235,-0.0021853146853147987
2016-10-30,69.028,68.8,69.23,0.015207224166838396,0.024266785767455668,0.010804497006862368
2016-11-06,68.61,67.76,69.26,-0.006055513704583793,-0.015116279069767313,0.00043333814820156746
2016-11-13,73.3,69.88,76.69,0.06835738230578636,0.03128689492325831,0.10727692751949158
2016-11-20,78.4,77.4,79.51,0.06957708049113243,0.10761305094447637,0.03677141739470602
2016-11-27,78.5675,78.05,78.86,0.002136479591836604,0.008397932816537335,-0.008175072317947452
2016-12-04,80.16000000000001,78.32,81.79,0.020269195277945906,0.0034593209481101894,0.03715445092569114
2016-12-11,84.326,83.26,85.49,0.0519710578842314,0.06307456588355476,0.04523780413253431
2016-12-18,85.03200000000001,84.73,86.0,0.00837226952541359,0.017655536872447808,0.005965610012867106
2016-12-25,86.53,85.43,87.05,0.017616897168124757,0.008261536645816081,0.012209302325581373
2017-01-01,86.4525,85.89,87.13,-0.000895643129550483,0.005384525342385427,0.0009190120620332642
2017-01-08,86.5925,86.11,87.23,0.0016193863682369969,0.0025614157643496505,0.0011477103179158288
2017-01-15,86.526,86.18,87.08,-0.0007679648930335459,0.000812913715015684,-0.001719591883526328
2017-01-22,83.61500000000001,83.3,83.94,-0.03364306682384466,-0.033418426549083446,-0.03605879650895727
2017-01-29,85.62800000000001,83.71,86.93,0.02407462775817737,0.004921968787515052,0.035620681439123336
2017-02-05,85.47600000000001,84.59,87.18,-0.0017751202877563932,0.010512483574244502,0.002875877142528571
2017-02-12,86.72999999999999,85.96,87.2,0.014670784781692925,0.016195767821255425,0.00022941041523272254
2017-02-19,89.81200000000001,88.15,90.59,0.03553557016026776,0.025476966030712145,0.03887614678899087
2017-02-26,90.8825,90.33,91.13,0.011919342626820262,0.024730572887124103,0.0059609228391652724
2017-03-05,91.91799999999999,90.43,93.6,0.011393832696063644,0.0011070519207352358,0.02710413694721825
2017-03-12,91.478,91.21,91.92,-0.004786875258382395,0.008625456153931177,-0.017948717948717885
2017-03-19,91.384,90.68,91.73,-0.001027569470255063,-0.005810766363337216,-0.002067014795474331
2017-03-26,87.92600000000002,87.29,90.03,-0.037840322157051354,-0.037384208204675806,-0.018532650168974207
2017-04-02,88.196,87.24,89.03,0.0030707640515885704,-0.0005728032993471688,-0.011107408641563898
2017-04-09,86.736,86.18,87.52,-0.016554038731915188,-0.012150389729481792,-0.0169605750870494
2017-04-16,85.35249999999999,84.4,85.88,-0.01595070097767959,-0.02065444418658624,-0.01873857404021939
2017-04-23,85.10999999999999,84.46,85.86,-0.002841158724114834,0.0007109004739334068,-0.00023288309268743035
2017-04-30,87.76,87.0,88.43,0.031136176712490027,0.03007340753019183,0.029932448171442028
2017-05-07,86.93199999999999,86.5,87.1,-0.009434822242479712,-0.005747126436781658,-0.0150401447472579
2017-05-14,87.07199999999999,86.75,87.43,0.0016104541480697065,0.0028901734104045396,0.003788748564868216
2017-05-21,85.59199999999998,83.96,87.61,-0.016997427416391098,-0.032161383285302714,0.002058789889054058
2017-05-28,85.376,84.7,85.76,-0.002523600336479803,0.008813720819437876,-0.021116310923410486
2017-06-04,82.9375,82.15,83.9,-0.028561890929535316,-0.030106257378984647,-0.021688432835820892
2017-06-11,84.314,82.79,86.96,0.01659683496608877,0.007790626902008491,0.036471990464838955
2017-06-18,86.81800000000001,86.18,87.27,0.0296985079583465,0.04094697427225502,0.0035648574057038918
2017-06-25,87.318,86.86,88.07,0.00575917436476292,0.007890461824088923,0.009166953133951994
2017-07-02,89.532,87.24,91.4,0.0253555967841681,0.004374856090260115,0.03781083229249482
2017-07-09,93.41499999999999,92.75,93.85,0.043369968279497684,0.06315910132966529,0.026805251641137673
2017-07-16,92.776,92.25,93.19,-0.0068404431836428525,-0.005390835579514808,-0.007032498668087306
2017-07-23,91.14999999999999,90.89,91.39,-0.017526084332154968,-0.014742547425474206,-0.019315377186393312
2017-07-30,91.768,91.28,92.8,0.006780032912781175,0.004290901089228694,0.015428383849436456
2017-08-06,92.82000000000001,91.8,93.66,0.011463691046988078,0.005696757230499561,0.009267241379310232
2017-08-13,92.968,91.42,94.02,0.0015944839474251182,-0.004139433551198168,0.0038436899423446302
2017-08-20,91.74000000000001,90.65,92.73,-0.0132088460545563,-0.008422664624808562,-0.013720485003190674
2017-08-27,91.454,90.63,91.89,-0.003117505995203995,-0.00022062879205753116,-0.0090585571012618
2017-09-03,91.32,90.89,91.7,-0.0014652174863866163,0.0028688072382214713,-0.0020676896289041347
2017-09-10,89.1425,88.42,90.11,-0.02384472185720543,-0.027175706898448615,-0.01733914940021819
2017-09-17,90.88400000000001,89.79,91.62,0.019536135962083367,0.015494232074191316,0.016757296637443186
2017-09-24,94.264,92.92,95.03,0.03719026451300533,0.034859115714444666,0.03721894782798518
2017-10-01,94.77799999999999,93.7,95.51,0.005452770941186458,0.008394317692638875,0.00505103651478489
2017-10-08,96.912,96.36,97.35,0.022515773702758146,0.028388473852721363,0.019264998429483704
2017-10-15,96.446,95.86,97.13,-0.0048084860491993675,-0.005188875051888697,-0.002259887005649719
2017-10-22,98.214,97.62,99.51,0.018331501565642894,0.01836010849155012,0.024503243076289705
