Date,Open,High,Low,Close,Adj Close,Volume
2015-11-04,66.01,66.15,65.63,65.85,59.84,11374700
2015-11-05,65.79,66.67,65.75,66.44,60.37,12715900
2015-11-06,68.37,69.03,68.1,68.46,62.21,23262700
2015-11-09,68.7,68.72,67.08,67.39,61.24,17143800
2015-11-10,67.19,67.85,66.93,67.68,61.5,13239700
2015-11-11,68.1,68.17,67.25,67.35,61.2,8513900
2015-11-12,66.86,66.9,65.95,66.0,59.97,13576900
2015-11-13,65.84,66.17,65.23,65.56,59.58,11837000
2015-11-16,65.46,66.58,65.17,66.51,60.44,11041100
2015-11-17,66.67,66.74,65.89,66.13,60.09,12354800
2015-11-18,66.48,67.55,66.37,67.45,61.29,12911400
2015-11-19,67.58,67.82,67.04,67.66,61.48,12839500
2015-11-20,67.99,68.11,67.38,67.54,61.37,11209600
2015-11-23,67.31,67.58,66.78,66.88,60.77,11339000
2015-11-24,66.17,67.14,66.04,66.78,60.68,10910000
2015-11-25,66.93,67.12,66.55,66.86,60.76,7772000
2015-11-27,67.0,67.33,66.64,67.17,61.04,4052500
2015-11-30,67.28,67.52,66.68,66.68,60.59,15147500
2015-12-01,67.34,67.83,66.99,67.61,61.44,12708800
2015-12-02,67.83,67.88,66.48,66.66,60.57,13440900
2015-12-03,66.83,67.03,65.58,65.8,59.79,14626900
2015-12-04,66.1,68.0,66.03,67.89,61.69,17786000
2015-12-07,67.66,67.75,66.4,67.0,60.88,11686000
2015-12-08,66.25,66.96,65.7,65.96,59.94,13084500
2015-12-09,65.61,66.58,65.04,65.46,59.48,16770200
2015-12-10,65.54,66.5,65.08,65.61,59.62,12807800
2015-12-11,64.8,65.16,63.51,64.07,58.22,17889300
2015-12-14,64.23,64.76,63.6,64.27,58.4,17454900
2015-12-15,65.07,66.65,65.07,66.1,60.07,18126600
2015-12-16,66.91,67.74,65.91,67.53,61.37,21720000
2015-12-17,67.9,68.0,66.08,66.28,60.23,18122100
2015-12-18,65.97,65.97,64.4,64.4,58.52,23819600
2015-12-21,65.02,65.56,64.83,65.54,59.56,18869300
